komentar,rating,date,nama_bank,channel,sentimen,text_clean,text_preprocessed
Aplikasi yang sangat membantu dalam kebutuhan finansial dan juga didukung dengan aktivasi yang sangat mudah sekali.,5,2021-06-30 5:43:51,Jenius,Playstore,positif,aplikasi yang sangat membantu dalam kebutuhan finansial dan juga didukung dengan aktivasi yang sangat mudah sekali,"['bantu', 'butuh', 'finansial', 'dukung', 'aktivasi', 'mudah']"
Mantap,5,2022-02-07 16:01:28,Seabank,Playstore,positif,mantap,['mantap']
"Mantap, moga rezekinya lancar",5,2021-05-27 17:43:39,Neocommerce,Playstore,positif,mantap moga rezekinya lancar,"['mantap', 'moga', 'rezeki', 'lancar']"
Baik,5,2021-12-20 22:03:30,Neocommerce,Playstore,positif,baik,[]
Oke,1,2021-07-09 16:14:50,Neocommerce,Playstore,positif,oke,['oke']
Aplikasi life finance jaman now😎,5,2020-04-07 2:59:19,Jenius,Playstore,positif,aplikasi life finance jaman now😎,"['life', 'finance', 'jaman', 'now']"
"Aplikasi yang sekarang tidak lengkap informasinya. Masihlebih baik yang dulu. Yang sekarang tidak ada informasi suku bunga pinjaman yang sedang berjalan terutama KPR. Tibatiba cuma ada total tagihan saja. Kami nasabah juga butuh keterangan bunga pinjaman sedang berjalan berapa, kalau ada denda berapa. Jadi jelas , sama sama tau.",2,2021-12-21 2:59:58,Livin,Playstore,negatif,aplikasi yang sekarang tidak lengkap informasinya masihlebih baik yang dulu yang sekarang tidak ada informasi suku bunga pinjaman yang sedang berjalan terutama kpr tibatiba cuma ada total tagihan saja kami nasabah juga butuh keterangan bunga pinjaman sedang berjalan berapa kalau ada denda berapa jadi jelas  sama sama tau,"['lengkap', 'informasi', 'masihlebih', 'informasi', 'suku', 'bunga', 'pinjam', 'jalan', 'kpr', 'tibatiba', 'total', 'tagih', 'nasabah', 'butuh', 'terang', 'bunga', 'pinjam', 'jalan', 'denda', 'tau']"
Bayar netflik di jenius bikin hari-hari nonton gue jadi gampang karena bisa bayar netflik di jenius gak perlu keluar2 lagi buaf bayar cukup di aplikasinya aja udah bisa akses netflik,5,2020-08-17 2:57:17,Jenius,Playstore,positif,bayar netflik di jenius bikin harihari nonton gue jadi gampang karena bisa bayar netflik di jenius gak perlu keluar lagi buaf bayar cukup di aplikasinya aja udah bisa akses netflik,"['bayar', 'netflik', 'harihari', 'nonton', 'gue', 'gampang', 'bayar', 'netflik', 'gak', 'buaf', 'bayar', 'aplikasi', 'udah', 'akses', 'netflik']"
Jika teman berhasil di undang dan buat rekening. Berapa lama waktu yang di butuhkan untuk mendapat hadiah undang teman ???,5,2021-05-22 5:11:10,Neocommerce,Playstore,netral,jika teman berhasil di undang dan buat rekening berapa lama waktu yang di butuhkan untuk mendapat hadiah undang teman,"['teman', 'hasil', 'undang', 'rekening', 'butuh', 'hadiah', 'undang', 'teman']"
Easy to use I can do many banking transaction easily. Keep up the good work 👍👍👍,5,2017-05-26 10:52:08,Jenius,Appstore,positif,easy to use i can do many banking transaction easily keep up the good work 👍👍👍,"['easy', 'to', 'use', 'i', 'can', 'do', 'many', 'banking', 'transaction', 'easily', 'keep', 'up', 'the', 'good', 'work', '']"
Apakah aplikasi ini memungut biaya,5,2021-11-05 14:12:59,Neocommerce,Playstore,netral,apakah aplikasi ini memungut biaya,"['mungut', 'biaya']"
"Luar biasa ,lumayan",5,2022-01-26 2:16:06,Neocommerce,Playstore,positif,luar biasa lumayan,['lumayan']
Good,5,2022-01-07 1:56:22,Neocommerce,Playstore,positif,good,['good']
"Mudah""n ngga salah kasi bintang 5",5,2021-04-10 2:19:22,Jenius,Playstore,positif,mudahn ngga salah kasi bintang,"['mudahn', 'ngga', 'salah', 'kasi', 'bintang']"
Kenapa aplikasi saya gk bisa d buka terus iya.. padahal sya udah isi saldo sampai 2x,1,2021-12-31 14:40:08,Jago,Playstore,negatif,kenapa aplikasi saya gk bisa d buka terus iya padahal sya udah isi saldo sampai x,"['gk', 'd', 'buka', 'iya', 'sya', 'udah', 'isi', 'saldo', 'x']"
Jos Mantap,5,2021-12-13 1:38:33,Neocommerce,Playstore,positif,jos mantap,"['jos', 'mantap']"
Mntap,5,2021-06-28 20:00:50,Neocommerce,Playstore,positif,mntap,['mntap']
Sangat baik,5,2021-12-30 6:19:59,Livin,Playstore,positif,sangat baik,[]
"Bad Tidak bisa konfirmasi, coba berkali2 notifnya coba lagi. Gmna cara verifikasi lainnya?",1,2021-10-09 4:19:18,Blu,Appstore,negatif,bad tidak bisa konfirmasi coba berkali notifnya coba lagi gmna cara verifikasi lainnya,"['bad', 'konfirmasi', 'coba', 'kali', 'notifnya', 'coba', 'gmna', 'verifikasi']"
"Tadi saya di telp katanya suruh isi data, saya sudah iisi data , katanya sudsh terdaftar, tapi saya ga dikasih akun log in dan pasword, sedangakn harus masukin password dan akun, bagaimana ini? Kan data ktp dan npwp saya sudah di cek tadi pas di telfon? Lalu gimana cara log in nya ? Sedangkan saya ga punya kartu debit nya",1,2019-12-07 2:52:15,Digibank,Playstore,negatif,tadi saya di telp katanya suruh isi data saya sudah iisi data  katanya sudsh terdaftar tapi saya ga dikasih akun log in dan pasword sedangakn harus masukin password dan akun bagaimana ini kan data ktp dan npwp saya sudah di cek tadi pas di telfon lalu gimana cara log in nya  sedangkan saya ga punya kartu debit nya,"['telp', 'suruh', 'isi', 'data', 'iisi', 'data', 'sudsh', 'daftar', 'ga', 'kasih', 'akun', 'log', 'in', 'pasword', 'sedangakn', 'masukin', 'password', 'akun', 'data', 'ktp', 'npwp', 'cek', 'telfon', 'gimana', 'log', 'in', 'ga', 'kartu', 'debit']"
Sejauh ini menurut saya aman² aja gka ada kendala apapun,4,2021-11-19 22:17:20,Livin,Playstore,positif,sejauh ini menurut saya aman² aja gka ada kendala apapun,"['aman', 'gka', 'kendala', 'apa']"
Saya kasih bintang 1 dulu,1,2021-06-28 13:25:59,Neocommerce,Playstore,netral,saya kasih bintang  dulu,"['kasih', 'bintang']"
Sangat membantu untuk sya yg malas antri di bank,5,2021-11-20 5:19:01,Livin,Playstore,positif,sangat membantu untuk sya yg malas antri di bank,"['bantu', 'sya', 'malas', 'antri']"
Sangat penting,5,2022-01-01 9:41:35,Livin,Playstore,positif,sangat penting,[]
Aplikasi Makin Hari Makin Jelek...Mau Login Aja susah...,1,2021-09-30 1:43:54,Jenius,Playstore,negatif,aplikasi makin hari makin jelekmau login aja susah,"['jelekmau', 'login', 'susah']"
Aplikasi Neo terbaik dari semua aplikasi perbankan,5,2021-12-26 9:20:24,Neocommerce,Playstore,positif,aplikasi neo terbaik dari semua aplikasi perbankan,"['baik', 'perban']"
aplikasinya beneran bagus nih,5,2021-03-29 5:10:09,Jenius,Playstore,positif,aplikasinya beneran bagus nih,"['aplikasi', 'beneran', 'bagus']"
Semoga panjang umur,5,2021-07-09 17:28:31,Neocommerce,Playstore,netral,semoga panjang umur,"['moga', 'umur']"
"Aplikasi Perbankan paling keras kepala!! Yg lain sepert Pajak NPWP, Mandiri saya, BCA, Paypal Dan BPJS Semua ikut alamat KTP saya. Lah ini dia (Jenius) ngebuat alamat sendiri untuk saya! Seorang Diri yg ngeyel dan keras kepala! Udah salah tetap keras kepala! dan di berikan bukti2 tetap ga mau ngerubah alamat akun saya! Bye Bye masih byk yg ""Lebih Baik Dari Anda""",1,2021-07-20 22:01:55,Jenius,Playstore,negatif,aplikasi perbankan paling keras kepala yg lain sepert pajak npwp mandiri saya bca paypal dan bpjs semua ikut alamat ktp saya lah ini dia jenius ngebuat alamat sendiri untuk saya seorang diri yg ngeyel dan keras kepala udah salah tetap keras kepala dan di berikan bukti tetap ga mau ngerubah alamat akun saya bye bye masih byk yg lebih baik dari anda,"['perban', 'keras', 'kepala', 'sepert', 'pajak', 'npwp', 'paypal', 'bpjs', 'alamat', 'ktp', 'ngebuat', 'alamat', 'ngeyel', 'keras', 'kepala', 'udah', 'salah', 'keras', 'kepala', 'bukti', 'ga', 'ngerubah', 'alamat', 'akun', 'bye', 'bye', 'byk']"
Sangat puas.. transfer ke berbagai bamk gratis ga kena admin karena beda bank.. transfer beda bank jg cepat masuk.. pertahankan performamu 👍,5,2021-12-14 0:17:38,Neocommerce,Playstore,positif,sangat puas transfer ke berbagai bamk gratis ga kena admin karena beda bank transfer beda bank jg cepat masuk pertahankan performamu 👍,"['puas', 'transfer', 'bamk', 'gratis', 'ga', 'kena', 'admin', 'beda', 'transfer', 'beda', 'jg', 'cepat', 'masuk', 'tahan', 'performa', '']"
Benar2 menghasilkan uang,5,2022-01-07 1:02:48,Neocommerce,Playstore,positif,benar menghasilkan uang,"['hasil', 'uang']"
"Smg blu bisa bermanfaat bagi semua orang,amin.",5,2021-11-15 14:47:27,Blu,Playstore,positif,smg blu bisa bermanfaat bagi semua orangamin,"['smg', 'manfaat', 'orangamin']"
"Aplikasi yang sangat berguna, aktivasinya yang lumayan cepat, layanan mobile banking nya yang sangat mudah digunakan , praktis banget deh.. Dicoba Yuk..",5,2021-06-21 3:59:13,Jenius,Playstore,positif,aplikasi yang sangat berguna aktivasinya yang lumayan cepat layanan mobile banking nya yang sangat mudah digunakan  praktis banget deh dicoba yuk,"['guna', 'aktivasinya', 'lumayan', 'cepat', 'layan', 'mobile', 'banking', 'mudah', 'praktis', 'deh', 'coba', 'yuk']"
"padahal sudah tingkat akhir pembuatan akun pada sesi masukan pin,,tetapi terjadi kendala sistem bermasalah dan coba beberapa saat lagi,,sangat membuang buang waktu saja,,",1,2018-10-28 9:57:51,Jenius,Playstore,negatif,padahal sudah tingkat akhir pembuatan akun pada sesi masukan pintetapi terjadi kendala sistem bermasalah dan coba beberapa saat lagisangat membuang buang waktu saja,"['tingkat', 'buat', 'akun', 'sesi', 'masuk', 'pintetapi', 'kendala', 'sistem', 'masalah', 'coba', 'lagisangat', 'buang', 'buang']"
Kasih bintang 1 dulu.. Ntar kalo rekening saya udah di aktifan baru nambah. Udah aktifasi akun via vidio call janji 1x24 jam rekening saya diaktikan. Ini malah hampir seminggu blm aktif juga. Sudah ajukan laporan di jenius help cuma di PHP doang.,1,2019-10-24 22:32:54,Jenius,Playstore,negatif,kasih bintang  dulu ntar kalo rekening saya udah di aktifan baru nambah udah aktifasi akun via vidio call janji x jam rekening saya diaktikan ini malah hampir seminggu blm aktif juga sudah ajukan laporan di jenius help cuma di php doang,"['kasih', 'bintang', 'rekening', 'udah', 'aktif', 'nambah', 'udah', 'aktifasi', 'akun', 'via', 'vidio', 'call', 'janji', 'x', 'jam', 'rekening', 'diaktikan', 'minggu', 'blm', 'aktif', 'aju', 'lapor', 'help', 'php', 'doang']"
ini gimana cara hapus akun di neo bank ya? saya mau hapus akun di neo bank 🙏,3,2021-12-01 10:46:55,Neocommerce,Playstore,netral,ini gimana cara hapus akun di neo bank ya saya mau hapus akun di neo bank 🙏,"['gimana', 'hapus', 'akun', 'hapus', 'akun', '']"
Ampun Bang Jago,5,2021-06-26 10:07:38,Jago,Playstore,netral,ampun bang jago,['ampun']
Susah bgt daftar rekening nya padahal data sudah benar dan langkah2nya pun sdh ngikut sesuai arahan apk,3,2021-10-16 4:26:14,Neocommerce,Playstore,negatif,susah bgt daftar rekening nya padahal data sudah benar dan langkahnya pun sdh ngikut sesuai arahan apk,"['susah', 'daftar', 'rekening', 'data', 'langkah', 'sdh', 'ngikut', 'sesuai', 'arah']"
"Bgs bgt... aplikasi digital yang mudah bgt di gunakan tapi, sayangnya sekarang suka nge leg padahal jaringan full. Tolong di tingkat kan lagi Overall saya puas bgt 🌟🌟🌟🌟 Kalau dah bener lagi saya naikkan jadi bintang 5👍",4,2021-10-29 18:28:33,Neocommerce,Playstore,positif,bgs bgt aplikasi digital yang mudah bgt di gunakan tapi sayangnya sekarang suka nge leg padahal jaringan full tolong di tingkat kan lagi overall saya puas bgt 🌟🌟🌟🌟 kalau dah bener lagi saya naikkan jadi bintang 👍,"['bgs', 'digital', 'mudah', 'sayang', 'suka', 'nge', 'leg', 'jaring', 'full', 'tolong', 'tingkat', 'overall', 'puas', '', 'dah', 'bener', 'naik', 'bintang', '']"
Jenius merupakan aplikasi m-banking dengan UI UX yang simple yang bisa melakukan kegiatan finansial kita dengan aman dan mudah.. sangat membantu sekali..,5,2021-12-09 5:32:16,Jenius,Playstore,positif,jenius merupakan aplikasi mbanking dengan ui ux yang simple yang bisa melakukan kegiatan finansial kita dengan aman dan mudah sangat membantu sekali,"['mbanking', 'ui', 'ux', 'simple', 'giat', 'finansial', 'aman', 'mudah', 'bantu']"
mantap,5,2021-02-22 23:43:28,Jenius,Playstore,positif,mantap,['mantap']
Makin lama makin parah malah ndk berputar reward nyo mohon di perbaikin,1,2021-10-04 0:28:57,Neocommerce,Playstore,negatif,makin lama makin parah malah ndk berputar reward nyo mohon di perbaikin,"['parah', 'ndk', 'putar', 'reward', 'nyo', 'mohon', 'perbaikin']"
Beberapa kali vertifikasi wajah gagal trs. 🥺,3,2021-10-13 10:47:28,Neocommerce,Playstore,negatif,beberapa kali vertifikasi wajah gagal trs 🥺,"['kali', 'vertifikasi', 'wajah', 'gagal', 'trs', '']"
Bagus sekali,5,2021-05-18 9:32:00,Jenius,Playstore,positif,bagus sekali,['bagus']
"Lebih memilih livin mandiri yang sebelum nya. Padahal livin yg dulu simple tapi fitur nya komplit. Yg ini terlalu rame kesan nya seperti buka apk e commerce, lalu ketika bayar pajak si nomor NTPN nya malah terpotong. Dan mungkin sy blm tau letak nya dmna, ingin download ulang bukti pembayaran namun tidak ada ☹️",2,2021-10-26 9:00:24,Livin,Playstore,negatif,lebih memilih livin mandiri yang sebelum nya padahal livin yg dulu simple tapi fitur nya komplit yg ini terlalu rame kesan nya seperti buka apk e commerce lalu ketika bayar pajak si nomor ntpn nya malah terpotong dan mungkin sy blm tau letak nya dmna ingin download ulang bukti pembayaran namun tidak ada ☹️,"['pilih', 'simple', 'fitur', 'komplit', 'rame', 'kesan', 'buka', 'e', 'commerce', 'bayar', 'pajak', 'nomor', 'ntpn', 'potong', 'blm', 'tau', 'letak', 'dmna', 'download', 'ulang', 'bukti', 'bayar', '']"
Kok aplikasi nya error.. Tf ke bank lain gak bisa. Di update baru malah error kek gini. Udh 1 minggu error gak bisa tf ke bank lain gimana ini?? Cukup sampai disini aj lah pake Neo.. Good bay aplikasi nya saya hapus. Karna gak guna.. Untung saya gak nabung uang banyak. Tf ke bank lain aj gak bisa Huu.. Aplikasi sampah....!!,1,2021-07-05 21:41:52,Neocommerce,Playstore,negatif,kok aplikasi nya error tf ke bank lain gak bisa di update baru malah error kek gini udh  minggu error gak bisa tf ke bank lain gimana ini cukup sampai disini aj lah pake neo good bay aplikasi nya saya hapus karna gak guna untung saya gak nabung uang banyak tf ke bank lain aj gak bisa huu aplikasi sampah,"['error', 'tf', 'gak', 'update', 'error', 'kek', 'gin', 'minggu', 'error', 'gak', 'tf', 'gimana', 'pake', 'good', 'bay', 'hapus', 'karna', 'gak', 'untung', 'gak', 'nabung', 'uang', 'tf', 'gak', 'huu', 'sampah']"
Knpa saya ngk bsa login?,1,2021-09-29 8:39:43,Neocommerce,Playstore,negatif,knpa saya ngk bsa login,"['knpa', 'ngk', 'bsa', 'login']"
Aplikasinya sangat membantu terimakasih...,5,2020-06-21 15:36:51,Digibank,Playstore,positif,aplikasinya sangat membantu terimakasih,"['aplikasi', 'bantu', 'terimakasih']"
"Bagus... Bank Digital yang jooos. 1 rekening tapi uang bisa di pisah lebih dari 1 kantong. Bahkan card ATM ada yg fisik n digital, itupun bisa di bedakan. Mantab lah bank Jago. Keep performance ya. Agar aq selalu mnjadi custumer mu.",5,2022-01-03 12:08:52,Jago,Playstore,positif,bagus bank digital yang jooos  rekening tapi uang bisa di pisah lebih dari  kantong bahkan card atm ada yg fisik n digital itupun bisa di bedakan mantab lah bank jago keep performance ya agar aq selalu mnjadi custumer mu,"['bagus', 'digital', 'jooos', 'rekening', 'uang', 'pisah', 'kantong', 'card', 'atm', 'fisik', 'n', 'digital', 'itu', 'beda', 'mantab', 'keep', 'performance', 'aq', 'mnjadi', 'custumer', 'mu']"
Makin payah,1,2021-07-18 0:55:53,Neocommerce,Playstore,negatif,makin payah,['payah']
Keren,1,2020-02-05 16:20:23,Jenius,Playstore,positif,keren,['keren']
Good apk,5,2021-05-28 7:06:13,Neocommerce,Playstore,positif,good apk,['good']
Good,5,2021-10-03 16:35:50,Jago,Playstore,positif,good,['good']
Praktis dengan transfer nya ???,5,2021-12-06 1:40:14,LineBank,Playstore,positif,praktis dengan transfer nya,"['praktis', 'transfer']"
Aplikasinya bagus tapi sayang kartu ATM nya gak ada,5,2021-08-31 3:24:49,Neocommerce,Playstore,netral,aplikasinya bagus tapi sayang kartu atm nya gak ada,"['aplikasi', 'bagus', 'sayang', 'kartu', 'atm', 'gak']"
Aplikasi mobile banking yang bermanfaat buat sehari hari. Aktivasinya juga mudah. wajib punya jenius,5,2021-08-30 5:05:10,Jenius,Playstore,positif,aplikasi mobile banking yang bermanfaat buat sehari hari aktivasinya juga mudah wajib punya jenius,"['mobile', 'banking', 'manfaat', 'hari', 'aktivasinya', 'mudah', 'wajib']"
Bank digital paling buruk !!!!yang pernah saya temui. Top up gak masuk. Ini aplikasi scam,2,2021-10-16 4:52:35,Neocommerce,Playstore,negatif,bank digital paling buruk yang pernah saya temui top up gak masuk ini aplikasi scam,"['digital', 'buruk', 'temu', 'top', 'up', 'gak', 'masuk', 'scam']"
Good joop semua transaksi muda dengan TWRW,5,2021-10-15 18:21:42,TMRW,Playstore,positif,good joop semua transaksi muda dengan twrw,"['good', 'joop', 'transaksi', 'muda', 'twrw']"
Appl oke,5,2021-08-12 11:01:38,Neocommerce,Playstore,positif,appl oke,"['appl', 'oke']"
Bagus,5,2021-06-18 1:14:08,Neocommerce,Playstore,positif,bagus,['bagus']
Mantap,5,2021-11-02 23:59:21,Livin,Playstore,positif,mantap,['mantap']
"Verifikasinya lama, 1x24 jam, tapi sekarang sudah 3 minggu belum ada feedback dari pihak jago, keburu males saya nya...",1,2021-10-26 9:25:27,Jago,Playstore,negatif,verifikasinya lama x jam tapi sekarang sudah  minggu belum ada feedback dari pihak jago keburu males saya nya,"['verifikasi', 'x', 'jam', 'minggu', 'feedback', 'keburu', 'males']"
Buka rekening di neobank kok ribet ya..sdh coba beberapa kali ttp gagal. Kenapa ya???,2,2021-11-25 4:30:17,Neocommerce,Playstore,negatif,buka rekening di neobank kok ribet yasdh coba beberapa kali ttp gagal kenapa ya,"['buka', 'rekening', 'neobank', 'ribet', 'yasdh', 'coba', 'kali', 'ttp', 'gagal']"
Mantap.,5,2018-07-19 8:40:14,Jenius,Playstore,positif,mantap,['mantap']
Siiiiiiiiiiipppppppppppzzzzzz..... puaaaaasssss,5,2021-07-09 7:15:06,Neocommerce,Playstore,positif,siiiiiiiiiiipppppppppppzzzzzz puaaaaasssss,"['siiiiiiiiiiipppppppppppzzzzzz', 'puaaaaasssss']"
Udah install daftar diri..  tapi knapa ga mendapatkan bonus IDR.  Apakah aplikasi ini hanya omong kosong doang saja..,1,2016-11-25 14:12:16,Jenius,Playstore,negatif,udah install daftar diri  tapi knapa ga mendapatkan bonus idr  apakah aplikasi ini hanya omong kosong doang saja,"['udah', 'install', 'daftar', 'knapa', 'ga', 'bonus', 'idr', 'omong', 'kosong', 'doang']"
Good Application👍🏻 Aplikasi Yang sangat membantu👍🏻,5,2021-07-06 16:24:08,Jenius,Appstore,positif,good application👍🏻 aplikasi yang sangat membantu👍🏻,"['good', 'application', 'bantu']"
dengan adanya jenius bisnis saya jadi makin lancar. Olshopku jadi makin rame. thanks Jenius,5,2020-10-12 4:13:50,Jenius,Playstore,positif,dengan adanya jenius bisnis saya jadi makin lancar olshopku jadi makin rame thanks jenius,"['bisnis', 'lancar', 'olshopku', 'rame', 'thanks']"
Aplikasi perbankan terbaik,5,2021-04-05 9:17:27,Jenius,Playstore,positif,aplikasi perbankan terbaik,"['perban', 'baik']"
Kecewa parah mau top up saldo shopee gak bisa,1,2022-02-04 6:45:50,Livin,Playstore,negatif,kecewa parah mau top up saldo shopee gak bisa,"['kecewa', 'parah', 'top', 'up', 'saldo', 'shopee', 'gak']"
Awal daftar tidak ada masalah..2 hari setelah sy download.dan mencoba utk menabung..eh malah gak bisa dibuka apknya..kesalahan jaringan.trs klo apk tdk bisa dibuka??bgmn nasib uang saya??tolong diperbaiki dan dicek..,1,2021-12-02 6:14:58,Neocommerce,Playstore,negatif,awal daftar tidak ada masalah hari setelah sy downloaddan mencoba utk menabungeh malah gak bisa dibuka apknyakesalahan jaringantrs klo apk tdk bisa dibukabgmn nasib uang sayatolong diperbaiki dan dicek,"['daftar', 'downloaddan', 'coba', 'menabungeh', 'gak', 'buka', 'apknyakesalahan', 'jaringantrs', 'tdk', 'dibukabgmn', 'nasib', 'uang', 'sayatolong', 'baik', 'cek']"
Mantappppp,5,2021-12-26 12:50:26,Jago,Playstore,positif,mantappppp,['mantappppp']
"Untuk tampilan layar sudah sangat bagus, sistem keamanan jendela apung sudah bagus juga. Saran saya gunakan sistem login biometrik sidik jari, sangat membantu apabila aplikasi tidak merespon log in based on ID.",5,2021-10-23 3:51:44,Livin,Playstore,positif,untuk tampilan layar sudah sangat bagus sistem keamanan jendela apung sudah bagus juga saran saya gunakan sistem login biometrik sidik jari sangat membantu apabila aplikasi tidak merespon log in based on id,"['tampil', 'layar', 'bagus', 'sistem', 'aman', 'jendela', 'apung', 'bagus', 'saran', 'sistem', 'login', 'biometrik', 'sidik', 'jari', 'bantu', 'merespon', 'log', 'in', 'based', 'on', 'id']"
Bagus,5,2020-11-30 5:46:00,Jenius,Playstore,positif,bagus,['bagus']
aplikasi bagus aku suka,5,2021-06-28 23:20:03,Neocommerce,Playstore,positif,aplikasi bagus aku suka,"['bagus', 'suka']"
PAKYU,1,2021-10-27 9:46:56,Neocommerce,Playstore,negatif,pakyu,['pakyu']
"dapet 5rb dari Neo Fortune, padahal udah di tarik di Rewardnya, tp gk bertambah di saldo wkwkwk",1,2021-11-25 17:33:29,Neocommerce,Playstore,netral,dapet rb dari neo fortune padahal udah di tarik di rewardnya tp gk bertambah di saldo wkwkwk,"['dapet', 'rb', 'fortune', 'udah', 'tarik', 'rewardnya', 'gk', 'tambah', 'saldo', 'wkwkwk']"
Aplikasi bejad,1,2021-10-22 11:39:50,Neocommerce,Playstore,negatif,aplikasi bejad,['bejad']
Mungkin ini jln allah swt utk saya,5,2016-12-29 18:40:31,Jenius,Playstore,netral,mungkin ini jln allah swt utk saya,"['jln', 'allah', 'swt']"
Aplikasi ini sangat dibutuhkan dan vitur yang ada di aplikasi ini sangat bagus dan cocok untuk pelajar sangat mudah digunakan,5,2021-08-04 11:38:17,Jenius,Playstore,positif,aplikasi ini sangat dibutuhkan dan vitur yang ada di aplikasi ini sangat bagus dan cocok untuk pelajar sangat mudah digunakan,"['butuh', 'vitur', 'bagus', 'cocok', 'ajar', 'mudah']"
Kenapa skrang lama msuk saldo undang tman nya ya kk kdang gak masuk kk,3,2021-10-05 6:22:03,Neocommerce,Playstore,negatif,kenapa skrang lama msuk saldo undang tman nya ya kk kdang gak masuk kk,"['skrang', 'msuk', 'saldo', 'undang', 'tman', 'kk', 'kdang', 'gak', 'masuk', 'kk']"
Oks banget,5,2022-02-09 3:12:23,Livin,Playstore,positif,oks banget,['oks']
Sya belum pernah daftar apk neo Sekarang sya mau daftar gk bisa katanya no ponsel sya sudah terdaftar gmn ini,1,2021-10-03 9:46:26,Neocommerce,Playstore,negatif,sya belum pernah daftar apk neo sekarang sya mau daftar gk bisa katanya no ponsel sya sudah terdaftar gmn ini,"['sya', 'daftar', 'sya', 'daftar', 'gk', 'no', 'ponsel', 'sya', 'daftar', 'gmn']"
"Min kenapa sekarang susah login padahal akun masih aktif, semalam bisa login sekarang gak bisa",3,2021-06-28 1:58:03,Neocommerce,Playstore,negatif,min kenapa sekarang susah login padahal akun masih aktif semalam bisa login sekarang gak bisa,"['min', 'susah', 'login', 'akun', 'aktif', 'malam', 'login', 'gak']"
Dear digibank DBS yth. Mohon maaf sy tidak melakukan pengajuan apapun di apk. Ini dan untuk itu tolong data-data saya segera dihapus dan jgn sampai disalahgunakan karna sy tdk akan bertanggungjawab akan hal itu terjadi. Teims🙏,1,2022-02-23 3:57:25,Digibank,Playstore,netral,dear digibank dbs yth mohon maaf sy tidak melakukan pengajuan apapun di apk ini dan untuk itu tolong datadata saya segera dihapus dan jgn sampai disalahgunakan karna sy tdk akan bertanggungjawab akan hal itu terjadi teims🙏,"['dear', 'digibank', 'yth', 'mohon', 'maaf', 'aju', 'apa', 'tolong', 'datadata', 'hapus', 'jgn', 'disalahgunakan', 'karna', 'tdk', 'bertanggungjawab', 'teims']"
Mantafffffff,4,2021-12-31 1:18:50,Livin,Playstore,positif,mantafffffff,['mantafffffff']
Semoga amanah,4,2022-02-18 12:41:29,Jenius,Playstore,netral,semoga amanah,"['moga', 'amanah']"
Ok bgr,5,2021-07-10 5:04:13,Neocommerce,Playstore,positif,ok bgr,"['ok', 'bgr']"
Tolong jelaskan mengapa saya mau verifikasi KYc sangat dipersulit entah dari jaringan entah dari aplikasinya tolong kasih solusi,1,2021-10-20 12:19:28,Blu,Playstore,negatif,tolong jelaskan mengapa saya mau verifikasi kyc sangat dipersulit entah dari jaringan entah dari aplikasinya tolong kasih solusi,"['tolong', 'verifikasi', 'kyc', 'sulit', 'jaring', 'aplikasi', 'tolong', 'kasih', 'solusi']"
Ok ok ok,5,2021-06-29 7:41:28,Neocommerce,Playstore,positif,ok ok ok,"['ok', 'ok', 'ok']"
Good,5,2021-07-30 9:17:49,Neocommerce,Playstore,positif,good,['good']
Bgs,5,2021-12-29 10:06:23,Livin,Playstore,positif,bgs,['bgs']
Kok jadi sering keluar sendiri kalo mau transfer ya? Ini kenapa ?,4,2021-08-17 1:25:30,LineBank,Playstore,negatif,kok jadi sering keluar sendiri kalo mau transfer ya ini kenapa,['transfer']
"Aplikasii begoooo , gw daftat rekening ga jadi jadii Anjingg niat bukak bank gak si kaliann???",1,2021-06-15 0:02:53,Neocommerce,Playstore,negatif,aplikasii begoooo  gw daftat rekening ga jadi jadii anjingg niat bukak bank gak si kaliann,"['aplikasi', 'begoooo', 'gw', 'daftat', 'rekening', 'ga', 'jadi', 'anjingg', 'niat', 'bukak', 'gak', 'kaliann']"
Ko ga bisa log in. Emang tai,1,2021-07-31 17:09:36,Neocommerce,Playstore,negatif,ko ga bisa log in emang tai,"['ko', 'ga', 'log', 'in', 'emang', 'tai']"
Good,5,2021-10-17 15:16:51,Livin,Playstore,positif,good,['good']
Bank terbaik,5,2022-02-23 0:45:56,Livin,Playstore,positif,bank terbaik,['baik']
Baru mau nyoba,5,2022-01-23 10:49:15,Neocommerce,Playstore,netral,baru mau nyoba,['nyoba']
"Setelah update aplikasi lebih ringan, tdk lemot",5,2019-09-16 23:43:58,Jenius,Playstore,positif,setelah update aplikasi lebih ringan tdk lemot,"['update', 'ringan', 'tdk', 'lot']"
Terimakasih,5,2021-07-09 8:39:43,Neocommerce,Playstore,netral,terimakasih,['terimakasih']
saya kesulitan top up stiap tf via virtual sllu gagal,2,2021-06-04 2:38:18,Jago,Playstore,negatif,saya kesulitan top up stiap tf via virtual sllu gagal,"['sulit', 'top', 'up', 'stiap', 'tf', 'via', 'virtual', 'gagal']"
"ngantri dri 150, udah nol mlah mati kan asw wkwk",2,2021-10-05 1:34:45,Blu,Playstore,negatif,ngantri dri  udah nol mlah mati kan asw wkwk,"['ngantri', 'dri', 'udah', 'nol', 'mlah', 'mati', 'asw', 'wkwk']"
Coba dulu,4,2021-07-31 4:04:39,Jago,Playstore,netral,coba dulu,['coba']
